,pid,eid,probe_name,session_number,date,subject,lab
49,89606895-287e-4559-8536-9830b047af34,fc43390d-457e-463a-9fd4-b94a0a8b48f5,probe01,1,2021-06-25,NYU-47,angelakilab
58,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,46794e05-3f6a-4d35-afb3-9165091a5a74,probe01,1,2020-02-27,CSHL045,churchlandlab
67,04690e35-ab38-41db-982c-50cbdf8d0dd1,3663d82b-f197-4e8b-b299-7b803a155b84,probe01,3,2020-02-17,CSHL052,churchlandlab
85,bf591043-03c2-48bb-9197-e17e85aaeb8f,28741f91-c837-4147-939e-918d38d849f2,probe00,3,2020-07-11,CSHL058,churchlandlab
104,f967a527-257f-404a-871d-b91575dca3b4,19e66dc9-bf9f-430b-9d6a-acfa85de6fb7,probe00,1,2021-12-08,UCLA006,churchlandlab_ucla
107,94e948c1-f7be-4868-893a-f7cd2df3313e,03d9a098-07bf-4765-88b7-85f8d8f620cc,probe00,1,2021-08-18,UCLA014,churchlandlab_ucla
108,3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,probe00,1,2022-03-31,UCLA015,churchlandlab_ucla
109,eebcaf65-7fa4-4118-869d-a084e84530e2,111c1762-7908-47e0-9f40-2f2ee55b6505,probe01,1,2022-02-15,UCLA033,churchlandlab_ucla
110,2e720cee-05cc-440e-a24b-13794b1ac01d,32d27583-56aa-4510-bc03-669036edad20,probe00,1,2022-02-24,UCLA033,churchlandlab_ucla
111,a94a0023-d461-49fa-8cc6-032237039c27,8a3a0197-b40a-449f-be55-c00b23253bbf,probe01,1,2022-01-25,UCLA034,churchlandlab_ucla
112,f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1,8a3a0197-b40a-449f-be55-c00b23253bbf,probe00,1,2022-01-25,UCLA034,churchlandlab_ucla
113,6358854e-51d2-47de-a278-5cbfd155feb6,ebc9392c-1ecb-4b4b-a545-4e3d70d23611,probe00,1,2022-01-26,UCLA034,churchlandlab_ucla
114,c872ca65-8319-4901-856e-7dc507e2dd9c,19b44992-d527-4a12-8bda-aa11379cb08c,probe00,1,2022-01-27,UCLA034,churchlandlab_ucla
115,f083fcd5-e456-433d-8aa5-6ace0a7ac170,19b44992-d527-4a12-8bda-aa11379cb08c,probe01,1,2022-01-27,UCLA034,churchlandlab_ucla
116,501ab543-9d02-4085-956d-22b9b3eeb543,3537d970-f515-4786-853f-23de525e110f,probe00,1,2022-01-28,UCLA034,churchlandlab_ucla
117,54455bff-7afd-4a16-835f-f79b7c30bae9,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,probe00,1,2022-02-18,UCLA035,churchlandlab_ucla
118,7c94d733-b913-4064-83f2-37422712204c,6f36868f-5cc1-450c-82fa-6b9829ce0cfe,probe01,1,2022-02-18,UCLA035,churchlandlab_ucla
119,6ad5a0a6-362a-4aec-8743-2e91469b0b62,f99ac31f-171b-4208-a55d-5644c0ad51c3,probe00,1,2022-02-24,UCLA035,churchlandlab_ucla
120,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,e2b845a1-e313-4a08-bc61-a5f662ed295e,probe00,1,2022-03-09,UCLA036,churchlandlab_ucla
121,ac839451-05bc-493e-b167-558b2b195baa,e2b845a1-e313-4a08-bc61-a5f662ed295e,probe01,1,2022-03-09,UCLA036,churchlandlab_ucla
122,02cc03e4-8015-4050-bb42-6c832091febb,2bdf206a-820f-402f-920a-9e86cd5388a4,probe00,1,2022-02-02,UCLA037,churchlandlab_ucla
123,afe87fbb-3a17-461f-b333-e22903f1d70d,2bdf206a-820f-402f-920a-9e86cd5388a4,probe01,1,2022-02-02,UCLA037,churchlandlab_ucla
124,e05af01e-8721-4ec7-8d0f-dc022b3bebc3,fa8ad50d-76f2-45fa-a52f-08fe3d942345,probe00,1,2022-02-08,UCLA037,churchlandlab_ucla
125,5245b505-d0e7-4942-94d1-b33a084fab03,8d316998-28c3-4265-b029-e2ca82375b2f,probe00,1,2022-02-09,UCLA037,churchlandlab_ucla
126,29418b18-4db6-436f-a85e-b0f1d38d2e62,bda2faf5-9563-4940-a80f-ce444259e47b,probe00,1,2022-02-10,UCLA037,churchlandlab_ucla
148,10ef1dcd-093c-4839-8f38-90a25edefb49,8c552ddc-813e-4035-81cc-3971b57efe65,probe01,1,2020-11-23,KS042,cortexlab
149,b98f6b89-3de4-4295-be1c-59e465de1e32,8c552ddc-813e-4035-81cc-3971b57efe65,probe00,1,2020-11-23,KS042,cortexlab
152,0c42a3d2-beb7-4b7b-a9b5-1eea6c51e1f4,9468fa93-21ae-4984-955c-e8402e280c83,probe01,1,2020-12-06,KS043,cortexlab
154,1d547041-230a-4af3-ba6a-7287de2bdec3,e5c75b62-6871-4135-b3d0-f6464c2d90c0,probe01,1,2020-12-07,KS043,cortexlab
155,aac3b928-e99a-4039-ace1-af45d0130d82,e5c75b62-6871-4135-b3d0-f6464c2d90c0,probe00,1,2020-12-07,KS043,cortexlab
156,50445b30-f4ef-4405-b014-1d792ddfed88,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,probe01,1,2020-12-07,KS044,cortexlab
157,825ba9b8-ce03-49b7-b1a8-4d85ae2185af,a6fe44a8-07ab-49b8-81f9-e18575aa85cc,probe00,1,2020-12-07,KS044,cortexlab
160,437f43e1-9c8f-4be9-ac89-97885b0e03d0,571d3ffe-54a5-473d-a265-5dc373eb7efc,probe01,2,2020-12-06,KS045,cortexlab
161,aecd7612-b5c5-4ad2-9e76-e5b783387e47,571d3ffe-54a5-473d-a265-5dc373eb7efc,probe00,2,2020-12-06,KS045,cortexlab
168,41ea689a-7e05-463b-915a-90e63b8c0572,aa3432cd-62bd-40bc-bc1c-a12d53bcbdcf,probe00,1,2020-12-05,KS046,cortexlab
170,a8adabd7-7979-4fcf-99e7-d9bd9d27896f,4503697e-af44-47d9-898d-4924be990240,probe01,1,2021-05-12,KS051,cortexlab
171,082187a0-121f-47d5-962a-a9ad467e7124,7082d8ff-255a-47d7-a839-bf093483ec30,probe00,1,2021-05-13,KS051,cortexlab
172,2122d807-13ab-494e-a1cc-e55cf24d3e9f,7082d8ff-255a-47d7-a839-bf093483ec30,probe01,1,2021-05-13,KS051,cortexlab
175,8abf098f-d4f6-4957-9c0a-f53685db74cc,b22f694e-4a34-4142-ab9d-2556c3487086,probe00,1,2021-05-02,KS055,cortexlab
176,8b735d77-b77b-4243-8821-37802bf402fe,b22f694e-4a34-4142-ab9d-2556c3487086,probe01,1,2021-05-02,KS055,cortexlab
181,507b20cf-4ab0-4f55-9a81-88b02839d127,e45481fa-be22-4365-972c-e7404ed8ab5a,probe00,1,2022-03-15,KS086,cortexlab
183,4279e354-a6b8-4eff-8245-7c8723b07834,ffef0311-8ffa-49e3-a857-b3adf6d86e12,probe00,1,2022-03-16,KS086,cortexlab
329,1d237afc-ac2f-4bac-a163-a397fe09819f,259927fd-7563-4b03-bc5d-17b4d0fa7a55,probe01,1,2020-01-22,ZM_2240,mainenlab
344,7bd5627e-b02e-47f1-b476-4bf8eaa726b3,03063955-2523-47bd-ae57-f7489dd40f15,probe01,1,2020-08-01,SWC_038,mrsicflogellab
345,9915765e-ff15-4371-b1aa-c2ef1db8a254,03063955-2523-47bd-ae57-f7489dd40f15,probe00,1,2020-08-01,SWC_038,mrsicflogellab
348,3ccb2d59-9e94-48e6-9e72-0b7b96bd3f9b,45ef6691-7b80-4a43-bd1a-85fc00851ae8,probe00,1,2020-10-17,SWC_052,mrsicflogellab
370,04c9890f-2276-4c20-854f-305ff5c9b6cf,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,probe00,1,2020-10-10,SWC_054,mrsicflogellab
377,ffb1b072-2de7-44a4-8115-5799b9866382,d3a2b25e-46d3-4f0b-ade6-4e32255f4c35,probe00,1,2020-12-09,SWC_058,mrsicflogellab
378,25e75514-43e1-4c07-9fea-581bd203b55c,9545aa05-3945-4054-a5c3-a259f7209d61,probe00,1,2020-12-10,SWC_058,mrsicflogellab
386,11a5a93e-58a9-4ed0-995e-52279ec16b98,ebe090af-5922-4fcd-8fc6-17b8ba7bad6d,probe01,1,2019-12-03,ibl_witten_13,wittenlab
388,20469b30-1cd8-4078-9883-a840a0f6d787,4ddb8a95-788b-48d0-8a0a-66c7c796da96,probe01,1,2020-07-21,ibl_witten_19,wittenlab
391,b549e337-acc5-4837-9c56-e53b173fe5fe,65f5c9b4-4440-48b9-b914-c593a5184a18,probe00,1,2020-07-23,ibl_witten_19,wittenlab
392,57c5856a-c7bd-4d0f-87c6-37005b1484aa,a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,probe00,1,2020-09-03,ibl_witten_20,wittenlab
393,bc2f8bde-9498-41d7-b9db-83bd05cd34ba,5285c561-80da-4563-8694-739da92e5dd0,probe00,1,2020-12-08,ibl_witten_25,wittenlab
404,4037a618-e6ba-4142-a6d2-3e32ef25fd1b,c728f6fd-58e2-448d-aefb-a72c637b604c,probe01,3,2021-01-16,ibl_witten_27,wittenlab
405,19137f8d-0f3b-4923-93ad-f741758e1b2e,952870e5-f2a7-4518-9e6d-71585460f6fe,probe01,1,2021-01-19,ibl_witten_27,wittenlab
407,94761f31-0dfc-4f67-87ef-6d1ac7f95144,f304211a-81b1-446f-a435-25e589fe3a5a,probe01,1,2021-01-20,ibl_witten_27,wittenlab
409,c9fb5e2e-bd92-41d8-8b7e-394005860a1e,73918ae1-e4fd-4c18-b132-00cb555b1ad2,probe00,1,2021-01-21,ibl_witten_27,wittenlab
411,db2100c3-64ac-463e-97a1-20ce8266cd5f,0cc486c3-8c7b-494d-aa04-b70e2690bcba,probe00,2,2021-06-09,ibl_witten_29,wittenlab
441,38981973-20de-44e5-8717-efcf88642502,20c112a1-8a42-44e0-a4cd-e5b932f7bda9,probe01,1,2020-07-26,CSH_ZAD_025,zadorlab
444,9e979599-11e1-4372-96fc-e80520f3e668,549caacc-3bd7-40f1-913d-e94141816547,probe01,1,2020-07-27,CSH_ZAD_025,zadorlab
